Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00401263,9,"Wednesday, January 30, 2013 17:47:48 UTC",38.4513,-119.3088,1.2,6.60, 7,"Central California"
ci,15279033,0,"Wednesday, January 30, 2013 17:30:36 UTC",34.1553,-116.4342,1.4,9.80,47,"Southern California"
ak,10647157,2,"Wednesday, January 30, 2013 16:52:13 UTC",62.0327,-145.1997,2.4,17.90,14,"Central Alaska"
nc,71931571,0,"Wednesday, January 30, 2013 16:36:59 UTC",38.8425,-122.8315,1.1,2.40,19,"Northern California"
hv,60461226,4,"Wednesday, January 30, 2013 15:54:25 UTC",19.9782,-155.4143,1.7,8.00,19,"Island of Hawaii, Hawaii"
ak,10647140,1,"Wednesday, January 30, 2013 15:42:36 UTC",61.4802,-149.8571,2.3,42.90,22,"Southern Alaska"
nc,71931541,1,"Wednesday, January 30, 2013 15:38:07 UTC",38.8325,-122.7562,2.3,0.60,38,"Northern California"
us,2013laap,6,"Wednesday, January 30, 2013 15:34:23 UTC",10.5744,126.9572,4.7,37.30,55,"Philippine Islands region"
nc,71931506,1,"Wednesday, January 30, 2013 15:20:16 UTC",38.8237,-122.7608,1.6,1.00,27,"Northern California"
ak,10647129,1,"Wednesday, January 30, 2013 15:18:48 UTC",61.7208,-148.2073,1.3,24.60, 4,"Southern Alaska"
nc,71931501,0,"Wednesday, January 30, 2013 15:18:33 UTC",38.8263,-122.7615,1.1,1.10,14,"Northern California"
ci,15279009,0,"Wednesday, January 30, 2013 15:14:00 UTC",34.1758,-117.2773,2.0,3.70,91,"Greater Los Angeles area, California"
us,2013laan,8,"Wednesday, January 30, 2013 15:05:14 UTC",62.4757,-124.4825,4.2,5.00,77,"Northwest Territories, Canada"
nc,71931481,0,"Wednesday, January 30, 2013 14:56:03 UTC",36.6815,-121.3088,1.5,4.70,11,"Central California"
nc,71931476,1,"Wednesday, January 30, 2013 14:51:26 UTC",36.6830,-121.3098,2.4,4.50,43,"Central California"
pr,13030001,0,"Wednesday, January 30, 2013 13:54:41 UTC",17.8591,-66.1946,2.2,8.00, 9,"Puerto Rico region"
